text,domain,label,stratify_key
George sells vacuum cleaners for $75 each. He receives a 30% commission on each cleaner. Last week he sold 13 machines. What were his total earnings?,social_sciences,0,social_sciences_0
"A question in the proof that Lipchitz continuous functions implies $W^{1,\infty}$.",mathematics,1,mathematics_1
Does Rawls's veil of ignorance smuggle in substantive liberal values under the guise of procedural neutrality?,philosophy_ethics,1,philosophy_ethics_1
"""To """"inoculate"""" someone against a persuasive message. you would:""",social_sciences,0,social_sciences_0
"Examine the influence of pre-Columbian Andean metallurgy, specifically the smelting of tumbaga, on the development of early Spanish colonial mining economies.",history_culture,1,history_culture_1
"Contrast the meanings of the terms ""gene pool"" and ""genotype\textquotedblright.",life_sciences,0,life_sciences_0
"How does the K-means clustering algorithm iteratively assign centroids via Expectation-Maximization, and what are its geometric limitations with non-spherical clusters?",statistics_ml,1,statistics_ml_1
"Is the phenomenal character of qualia exhausted by its representational content, and does your answer commit you to a specific theory of perception?",philosophy_ethics,1,philosophy_ethics_1
"Derive the partition function for a quantum harmonic oscillator and use it to calculate the high-temperature limit of the specific heat capacity, verifying the Dulong-Petit law.",physics_chemistry,1,physics_chemistry_1
"If qualia are ineffable and private, how can we have justified beliefs about whether others share phenomenally identical experiences?",philosophy_ethics,1,philosophy_ethics_1
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | When my teenage sister was showering, I didn't peek. Scenario 2 | I said my stomach hurt because I felt sharp pains.",philosophy_ethics,0,philosophy_ethics_0
How does spectral clustering utilize the eigenvalues of the normalized graph Laplacian matrix to partition data that is not linearly separable in the original space?,statistics_ml,1,statistics_ml_1
"What is the 'non-identity problem' as articulated by Derek Parfit, and how does it complicate ethical obligations regarding climate change mitigation for non-existent future generations?",philosophy_ethics,1,philosophy_ethics_1
"Data were collected on two variables X and Y and a least squares regression line was fitted to the data. The estimated equation for this data is y = –2.29 + 1.70x. One point has x = 5, y = 6. What is the residual for this point?",statistics_ml,0,statistics_ml_0
"Analyze the biomechanical principles of the sliding filament theory, detailing the ATP-dependent power stroke cycle of myosin heads along actin filaments.",life_sciences,1,life_sciences_1
Receptors that respond to gravity and keep you informed of your body's location in space are located primarily in the,social_sciences,0,social_sciences_0
Maine's famous aphorism that 'the movement of progressive societies has hitherto been a movement from Status to Contract' is often misunderstood. In what way?,philosophy_ethics,1,philosophy_ethics_1
How does the framework of structural violence explain the epidemiological disparities in maternal mortality rates across racially and economically segregated urban zip codes?,social_sciences,1,social_sciences_1
In games like soccer the blood lactate concentration:,life_sciences,0,life_sciences_0
"Explain the macroeconomic paradox of the liquidity trap in Keynesian economics, and why traditional monetary policy becomes entirely ineffective at the zero lower bound.",social_sciences,1,social_sciences_1
How do virtue ethics frameworks derived from Aristotelian teleology contrast with strict deontological approaches when resolving conflicts of moral duties?,philosophy_ethics,1,philosophy_ethics_1
How do I run a graphical application on a remote server when logged in through SSH?,hpc,0,hpc_0
Commutator in DC generator is used for,engineering,0,engineering_0
How do virtue ethics differ from duty-based ethics when an individual is making a difficult moral decision?,philosophy_ethics,0,philosophy_ethics_0
"Detail the job scheduling mechanics of the Slurm backfill algorithm and how it prevents large, high-priority MPI jobs from being indefinitely starved by smaller, shorter tasks.",hpc,1,hpc_1
"Formulate the spectral theorem for unbounded self-adjoint operators on a Hilbert space, highlighting its strict mathematical necessity for defining quantum mechanical observables.",mathematics,1,mathematics_1
"If certain fundamental rights are denied to some individuals but not others, then it is considered what type of problem?",social_sciences,0,social_sciences_0
Explain the vulnerability mechanics of prototype pollution in server-side V8 JavaScript execution environments and how it can escalate to remote code execution (RCE).,cs_software,1,cs_software_1
How do you declare a constant variable in JavaScript?,cs_software,0,cs_software_0
Detail the mechanics of a heap-based buffer overflow that leverages the dlmalloc fastbin structure to achieve arbitrary code execution.,cs_software,1,cs_software_1
What were the geopolitical and ideological motivations driving the proxy conflicts of the Cold War in the Horn of Africa during the 1970s?,history_culture,1,history_culture_1
"Prove that every weakly compact subset of a Hilbert space is bounded, leveraging the Uniform Boundedness Principle.",mathematics,1,mathematics_1
Delayed peripheral facial palsy in the stapes surgery: can it be prevented?,life_sciences,1,life_sciences_1
Are hepatitis G virus and TT virus involved in cryptogenic chronic liver disease?,life_sciences,0,life_sciences_0
How to suppress vertical space between theorem heads and enumitem environments?,mathematics,0,mathematics_0
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | On Christmas, I got one present, and tore through the present's elaborate wrapping to find a new technological device. Scenario 2 | I bathe my perfectly healthy 2-month-old son every night.",philosophy_ethics,0,philosophy_ethics_0
What is the philosophical significance of Frank Jackson's Mary's Room thought experiment in demonstrating the irreducibility of subjective qualia to purely physical facts?,philosophy_ethics,1,philosophy_ethics_1
How do molecular orbital diagrams rigorously explain the apparent hypervalency of sulfur hexafluoride (SF6) without invoking the historically flawed d-orbital sp3d2 hybridization model?,physics_chemistry,1,physics_chemistry_1
One force applied to one point of a rigid body: centre of mass and torque,hpc,0,hpc_0
Evaluate the use of rational choice institutionalism in explaining how international organizations solve collective action problems and reduce transaction costs between sovereign states.,social_sciences,1,social_sciences_1
Discuss the mechanism of spontaneous symmetry breaking in the Ginzburg-Landau theory of superconductivity and analyze its direct theoretical analogy to the Higgs mechanism in particle physics.,physics_chemistry,1,physics_chemistry_1
How does the reparameterization trick in Variational Autoencoders (VAEs) bypass the inability to backpropagate through a random sampling node?,statistics_ml,1,statistics_ml_1
Improve performance when dealing with shared memory and strings,hpc,1,hpc_1
How to address second order SQL injection without using PDO or binding in PHP application,cs_software,1,cs_software_1
Analyze the geopolitical and ideological consequences of the 1054 East-West Schism on the political autonomy of the Byzantine Empire during the era of the Komnenian restoration.,history_culture,1,history_culture_1
"Assume that all gases are perfect and that data refer to 298.15 K unless otherwise stated. Calculate the total change in entropy, when a sample of nitrogen gas of mass $14 \mathrm{~g}$ at $298 \mathrm{~K}$ and $1.00 \mathrm{bar}$ doubles its volume in an adiabatic reversible expansion.",physics_chemistry,0,physics_chemistry_0
Wolf claims that morality:,philosophy_ethics,0,philosophy_ethics_0
"If GPU register pressure forces spilling to local memory in a bandwidth-bound kernel, at what arithmetic intensity threshold does re-materializing intermediate values outperform spill-reload strategies?",hpc,1,hpc_1
Whether to delete cases that are flagged as outliers by statistical software when performing multiple regression?,statistics_ml,0,statistics_ml_0
Why do we assume electromagnetic fields to be doubly differentiable?,physics_chemistry,1,physics_chemistry_1
A closed system contains pure ammonia (NH_3) at an initial pressure and temperature of 1640psiaand 1460°R respectively. The ammonia then undergoes an isothermal expansion to a final pressure of 820psia. Using the generalized enthalpy correction chart calculate the change in specific enthalpy.,engineering,1,engineering_1
As regards the range of diseases caused by viruses:,life_sciences,0,life_sciences_0
Linear Regression - Number of Predictors - Negative Weight,statistics_ml,0,statistics_ml_0
What are the capacitive advantages of High-Voltage Direct Current (HVDC) over HVAC for long-distance subsea power transmission grids?,engineering,1,engineering_1
An HIV1/2 point of care test on sputum for screening TB/HIV co-infection in Central India - Will it work?,life_sciences,1,life_sciences_1
How is the steady-state approximation applied to derive the Michaelis-Menten kinetic rate equation for single-substrate enzymatic reactions from elementary step rate constants?,physics_chemistry,1,physics_chemistry_1
How to control 12V from 5V using transistor?,engineering,0,engineering_0
What are the most important sampling statistics? What distributionsdo they belong to?,social_sciences,0,social_sciences_0
find the the limit points of this sequence..,mathematics,0,mathematics_0
Help me to find the limit of the given function,mathematics,0,mathematics_0
Terminology of the sequences of promoters in relation to DNA strands,life_sciences,0,life_sciences_0
"Evaluate the anomaly known as Write Skew in Snapshot Isolation, and explain mathematically why strict Serializable isolation levels are required to prevent it.",cs_software,1,cs_software_1
What is the role of the KL divergence in formulating the Evidence Lower Bound (ELBO) during the training of deep generative models?,statistics_ml,1,statistics_ml_1
The development of an egg without fertilization is known as,life_sciences,0,life_sciences_0
Explain and discuss why the branch and link register (BALR) instruction is usually one of the most important instruc-tions of the IBM/360-370 computers?,cs_software,0,cs_software_0
"When wind speeds up as it blows over the top of a hill, atmospheric pressure there",engineering,0,engineering_0
How does the Riemann-Roch theorem compute the dimension of the space of meromorphic functions with prescribed poles on a compact Riemann surface?,mathematics,1,mathematics_1
"The drag of a ship in water is assumed to depend on the Reynolds number and the Froude number so that [drag / {(1/2)(\rhoV^2A)}] = f [{(\rhoVD) / \mu}, (V^2 / gD)] It is proposed that a model one-tenth the size of a full-scale ship be tested in water and the results be used to predict the performance of the full-scale ship. Is this feasible?",engineering,1,engineering_1
Trace the ideological evolution of the Non-Aligned Movement during the Cold War and its influence on the Bandung Conference of 1955.,history_culture,1,history_culture_1
How could I compare two files and remove similar rows in them (bash script),hpc,0,hpc_0
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I drank four glasses of water before driving to work. Scenario 2 | I put cameras in every bathroom stall to catch anyone who might draw graffiti.",philosophy_ethics,0,philosophy_ethics_0
How do I perform a GROUP BY on an aliased column in MS-SQL Server?,cs_software,0,cs_software_0
Where are the database username and password stored?,cs_software,0,cs_software_0
Explain the mechanism of spontaneous symmetry breaking in the Higgs field and its mathematical role in endowing the W and Z gauge bosons with mass.,physics_chemistry,1,physics_chemistry_1
The primary site of glucose reabsorption is the,life_sciences,0,life_sciences_0
How is the second moment of area calculated for a highly asymmetrical I-beam subjected to non-uniform torsional stress?,engineering,1,engineering_1
Bogus float inequality due to compiler optimization?,cs_software,1,cs_software_1
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I threw my children at the bear to distract it. Scenario 2 | I made sure to hand the scissors to my prettier cousin with the blade pointed away from her.",philosophy_ethics,0,philosophy_ethics_0
How to do a regression of a series of variables without typing each variable name,statistics_ml,0,statistics_ml_0
Analyze the impact of cognitive schemas and heuristic processing on the perpetuation of the Fundamental Attribution Error in out-group judicial sentencing judgments.,social_sciences,1,social_sciences_1
What is the primary public relations activity in financial relations?,social_sciences,0,social_sciences_0
"Explain the exact mathematical function of the forget gate in a Long Short-Term Memory (LSTM) cell, and how it mitigates the vanishing gradient problem over long sequences.",statistics_ml,1,statistics_ml_1
How many 'true' movements are available at the hip?,life_sciences,0,life_sciences_0
In the card game blackjack how much are a queen and a king worth-together?,history_culture,0,history_culture_0
Is it OK to borrow a ground wire from a different circuit?,engineering,0,engineering_0
What is the primary purpose of a capacitor in a DC electronic circuit?,engineering,0,engineering_0
Evaluate the latency implications of using BGP route reflectors versus a full-mesh iBGP topology in a highly scaled autonomous system.,cs_software,1,cs_software_1
Can a political authority derive genuine legitimacy from hypothetical consent when actual subjects would refuse consent under identical ideal conditions?,philosophy_ethics,1,philosophy_ethics_1
What is the main contrast between the short-run and long-run Phillips curve?,social_sciences,0,social_sciences_0
Evaluate the bioinformatics algorithms used in Hi-C chromosome conformation capture data analysis to mathematically define Topologically Associating Domains (TADs).,life_sciences,1,life_sciences_1
My bash script depends on ffmpeg which was removed when I upgraded to 14.04. What to do?,hpc,0,hpc_0
How does the human immune system recognize a common pathogen like the seasonal flu virus?,life_sciences,0,life_sciences_0
In what ways did the Columbian Exchange reconfigure European class structures more profoundly than any contemporary political revolution?,history_culture,1,history_culture_1
How can the paleoanthropologist determine if a species is bipedal?,history_culture,0,history_culture_0
What is the strict physical formulation of the Tolman-Oppenheimer-Volkoff limit regarding the maximum mass of a neutron star supported by neutron degeneracy pressure?,physics_chemistry,1,physics_chemistry_1
How does the framework of structural violence explain the epidemiological disparities in maternal mortality rates across racially and economically segregated urban zip codes?,social_sciences,1,social_sciences_1
"From the list of oral microorganisms, which is primarily responsible for the initiation of dental caries?",life_sciences,0,life_sciences_0
"If the volume of an object were to double, with no change in mass, its density would",engineering,0,engineering_0
Analyze the evolutionary advantages of Muller's Ratchet and explain how sexual reproduction mathematically purges deleterious mutations from an isolated population's gene pool.,life_sciences,1,life_sciences_1
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | Because my nephew is only 6, I will get him real darts. Scenario 2 | I walked throughout the store and placed items in my cart.",philosophy_ethics,0,philosophy_ethics_0
What are the precise algebraic conditions required for a polynomial to be solvable by radicals according to the fundamental theorem of Galois theory regarding solvable groups?,mathematics,1,mathematics_1
Evaluate the constructivist approach to international relations and how normative frameworks shape the state-building behavior of emerging hegemonies.,social_sciences,1,social_sciences_1
Cardiac reoperations in octogenarians: Do they really benefit?,life_sciences,0,life_sciences_0
Derive the transfer function for an underdamped second-order electromechanical system and calculate its settling time under a step input.,engineering,1,engineering_1
Why signs of coefficients change when doing multivariate vs. univariate logit regression?,statistics_ml,0,statistics_ml_0
Can a functionalist account of mind ground genuine phenomenal consciousness without collapsing into eliminativism?,philosophy_ethics,1,philosophy_ethics_1
Drawing a large binary matrix as colored grid in TikZ,mathematics,0,mathematics_0
What will be the final concentration of a solution of 50 ml of .5M H_2SO_4 added to 75 ml of .25M H_2SO_4 (the final volume is 125 ml)?,physics_chemistry,0,physics_chemistry_0
Explain the parallel I/O bottlenecks encountered in HDF5 when utilizing independent versus collective MPI-IO operations across a distributed Lustre filesystem.,hpc,1,hpc_1
"Construct a philosophical defense of utilitarianism when applied to the Trolley Problem, incorporating the Doctrine of Double Effect as a counter-argument.",philosophy_ethics,1,philosophy_ethics_1
"How many calories of heat are required to raise 1,000 grams of water from 10°C to 100°C?",physics_chemistry,0,physics_chemistry_0
Stretching plot horizontally and vertically with matplotlib?,hpc,0,hpc_0
How is the Perron-Frobenius theorem applied to prove the existence and uniqueness of a strictly positive principal eigenvector for irreducible non-negative matrices?,mathematics,1,mathematics_1
"In classical psychoanalytic theory, a maladaptive behavior that emerges as a compromise between an unconscious impulse and the resulting defense process is called",social_sciences,0,social_sciences_0
"What do the terms apartheid, ethnic cleansing, and integration all have in common?",history_culture,0,history_culture_0
Which of these television series was not set in the United States?,history_culture,0,history_culture_0
How does Shock Boundary Layer Interaction (SBLI) mathematically dictate the aerodynamic heating and pressure recovery in a scramjet isolator at Mach 7?,engineering,1,engineering_1
"Three kilograms of air are at an initial state of 100kPa, 300°K.The air is then compressedpolytropicallywith n = 2.56, to a final pressure of 500kPa. Assuming constant specificheats, calculate the change in entropy using the threeideal gas equations.",engineering,1,engineering_1
Is there a Hamiltonian path? (i.e. can the general associative law be solved with Graph Theory?),mathematics,1,mathematics_1
Describe the topological advantages of a multi-dimensional Hypercube interconnect over a Fat-Tree for highly localized nearest-neighbor communication patterns.,hpc,1,hpc_1
while read' loop through lines in text file losing characters in Bash script. is FFmpeg line to blame?,hpc,0,hpc_0
Describe the mechanics of a heap-spraying exploit in modern browser JavaScript engines and the effectiveness of ASLR (Address Space Layout Randomization) in mitigating it.,cs_software,1,cs_software_1
What is the difference between a rational and an irrational number?,mathematics,0,mathematics_0
How to read a value in a txt document using bash script on Ubuntu?,hpc,0,hpc_0
"Analyze the structural macroeconomic consequences of Dutch Disease, specifically evaluating how sudden natural resource windfalls cause real exchange rate appreciation and de-industrialization.",social_sciences,1,social_sciences_1
Why doesn't $ds^2 = 0$ imply two distinct points $p$ and $p'$ on a manifold are the same point?,mathematics,1,mathematics_1
Studying a few subjects in great depth to investigate a rare condition is known as,social_sciences,0,social_sciences_0
Health care for immigrants in Europe: is there still consensus among country experts about principles of good practice?,life_sciences,1,life_sciences_1
How do you calculate the power dissipation of a resistor?,engineering,0,engineering_0
Why are parallel memory codes so important in the understanding of the role of memory in thought?,social_sciences,1,social_sciences_1
What is the theoretical function of the recursive 'Merge' operation within Noam Chomsky's Minimalist Program for generative syntax?,social_sciences,1,social_sciences_1
"Carens accepts that it is possible for the sudden opening of one country's borders to do more harm than good from a liberal egalitarian perspective. However, he argues that",philosophy_ethics,1,philosophy_ethics_1
Can a ultracentrifuge be used to test general relativity?,physics_chemistry,1,physics_chemistry_1
PCA standard deviations reported by princomp() in R do not match eigenvalues of the covariance matrix,mathematics,0,mathematics_0
How did the Little Ice Age precipitate the demographic contraction and political fragmentation of the Mississippian culture's Cahokia settlement?,history_culture,1,history_culture_1
How to ship database with android application,cs_software,0,cs_software_0
The Upper Paleolithic is generally associated with:,history_culture,0,history_culture_0
How do Monads in Haskell mathematically encapsulate side effects within a strictly purely functional paradigm?,cs_software,1,cs_software_1
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | They wanted to start investing so I got them involved in a hedge fund. Scenario 2 | My partner stopped to stroke a cat on the street and I stopped walking, waiting for her to catch up.",philosophy_ethics,0,philosophy_ethics_0
Explain the exact stoichiometric constraint of the reverse tricarboxylic acid (rTCA) cycle operating in deep-sea chemolithoautotrophic bacteria.,life_sciences,1,life_sciences_1
How can I instruct listings package to correctly handle SQL comments in external source files?,cs_software,0,cs_software_0
"What is the critical role of node-local burst buffers in HPC storage tiers, and how do they decouple extreme checkpointing I/O bandwidth spikes from the slower parallel file system?",hpc,1,hpc_1
Goll Co. has a 25% interest in the common stock of Rose Co. and an 18% interest in the common stock of Jave Co. Neither investment gives Goll the ability to exercise significant influence over either company's operating and financial policies. Which of the two investments should Goll account for using the equity method?,history_culture,0,history_culture_0
Explain the thermodynamic formulation of exergy destruction (irreversibility) in a Claude cycle used for the cryogenic liquefaction of natural gas.,engineering,1,engineering_1
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I put my son in online classes because the local public school wasn't high-quality. Scenario 2 | I tried to assist a dementia patient at a nursing home.",philosophy_ethics,0,philosophy_ethics_0
"The 2,300-volt primary winding of a 60-cycle transformer has 4,800 turns. Calculate: (a) the mutual flux\textphi_m; (b) the number of turns in the 230-volt secondary winding; (c) the maximum flux in the core of a 60-cycle transformer that has 1320 primary turns and 46 secondary turns is 3.76 × 10^6maxwells. Also, calculate the primary and secondary induced voltages.",engineering,1,engineering_1
Which is true of the origins of Minoan civilization?,history_culture,0,history_culture_0
Discuss Nietzsche's concept of the 'Eternal Return' and its exact function as a psychological and existential litmus test for affirming life and overcoming European nihilism.,philosophy_ethics,1,philosophy_ethics_1
What are the main differences between alternating current and direct current when designing a basic household wiring layout?,engineering,0,engineering_0
Can actual quantum effects occur on a macro scale?,physics_chemistry,1,physics_chemistry_1
How do I pass a file as an argument in bash scripting?,hpc,0,hpc_0
The Egyptian system of hieroglyphics:,history_culture,0,history_culture_0
"If a distributed sparse matrix-vector multiplication on a dragonfly network exhibits 3x slowdown due to global link contention, how do you redesign the communication pattern?",hpc,1,hpc_1
The database cannot be opened because it is version 706. This server supports version 655 and earlier. A downgrade path is not supported,cs_software,0,cs_software_0
"Probability, quantum physics, and why (can't it/does it) apply to macroscale events?",physics_chemistry,1,physics_chemistry_1
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | My baby rode in their carseat while I drove the car on the freeway. Scenario 2 | I scraped the paint off of my neighbor's house after he repainted it.",philosophy_ethics,1,philosophy_ethics_1
"A number (2N + 1) of sheets of material are stacked together, each with axis rotated by (\pi / 4N) with respect to the previous one. The first and last arepolarizers, the remainder are half-wave plates. Find the ratio of final to incident light intensity.",physics_chemistry,1,physics_chemistry_1
"Given a SLURM job dependency graph with 500 nodes and probabilistic failure rates, how do you construct checkpoint placement to minimize expected total recomputation cost?",hpc,1,hpc_1
Does the derivative of a continuous function goes to zero if the function converges to it?,mathematics,1,mathematics_1
Did decolonization movements succeed more durably where they were led by mass peasant mobilization than where they were led by Western-educated elites?,history_culture,1,history_culture_1
Does scikit-learn have forward selection/stepwise regression algorithm?,hpc,0,hpc_0
Is there a shared property between the type of problems that quantum computers will beat classical computers at?,physics_chemistry,1,physics_chemistry_1
Kelsen’s theory of law is called pure theory because Kelsen :,philosophy_ethics,0,philosophy_ethics_0
How does the exact solution of the 2D Ising model by Lars Onsager mathematically demonstrate a continuous phase transition at a non-zero critical temperature?,physics_chemistry,1,physics_chemistry_1
Using Vieta's theorem for cubic equations to derive the cubic discriminant,mathematics,1,mathematics_1
Is irritable bowel syndrome a diagnosis of exclusion?,life_sciences,0,life_sciences_0
"In Sub-Saharan Africa, as of 2020,",history_culture,0,history_culture_0
"In what ways did the Human Development Report, published by the United Nations Development Program in 1994, challenge the traditional security paradigm?",social_sciences,1,social_sciences_1
"Fibonacci sequence proof, how should I proceed?",mathematics,0,mathematics_0
"What two problems does individualism lead us into, according to Hourdequin?",philosophy_ethics,0,philosophy_ethics_0
"What is the meaning of ""armed attack"" in Article 51 UN Charter?",history_culture,1,history_culture_1
Concatenate sting from different tables in sql server 2017 below versions,cs_software,0,cs_software_0
Why OpenMP under ubuntu 12.04 is slower than serial version,hpc,1,hpc_1
What algorithm does a package manager use to decide if a package is unused?,cs_software,1,cs_software_1
is logistic regression only for binary classification?,statistics_ml,0,statistics_ml_0
"Calculate the yield, the threshold energy and the project-ile energy for the reaction (^23 _11)Na [(^3 _1)H , ^1n] (^25 _12)Mg with the masses equal to 22.9898, 3.01605, 1.008665 and 24.98584, respectively.",physics_chemistry,0,physics_chemistry_0
Why does differencing a time series remove its memory?,statistics_ml,1,statistics_ml_1
How do we know quantum entanglement really happens?,physics_chemistry,1,physics_chemistry_1
Nasal fractures:  is closed reduction satisfying?,life_sciences,1,life_sciences_1
"As more lamps are connected to a series circuit, the current in the power source",engineering,0,engineering_0
Discuss the architectural trade-offs of using GraphQL resolvers backed by a federated supergraph versus a traditional REST API gateway pattern.,cs_software,1,cs_software_1
What is a good thermodynamics book with problems and solutions?,physics_chemistry,0,physics_chemistry_0
Discuss the implementation of work-stealing queues in OpenMP task parallelism and how they mitigate load imbalance in recursive divide-and-conquer workloads.,hpc,1,hpc_1
How to manage the governor limit : Maximum number of Apex classes scheduled concurrently : 100,mathematics,0,mathematics_0
Why does this limit exist $x^{x}$,mathematics,0,mathematics_0
What role did the structural limitations of the Articles of Confederation play in precipitating Shays' Rebellion and the subsequent drafting of the US Constitution?,history_culture,1,history_culture_1
Maximum Likelihood Estimator exercise - what am I doing wrong?,statistics_ml,1,statistics_ml_1
Proof that the real numbers are countable: Help with why this is wrong,mathematics,0,mathematics_0
Does the oracle in Grover's algorithm need to contain information about the entirety of the database?,cs_software,1,cs_software_1
What are the ontological arguments surrounding physicalism and the 'hard problem of consciousness' as proposed by property dualists like David Chalmers?,philosophy_ethics,1,philosophy_ethics_1
"Evaluate the use of the method of characteristics to solve first-order quasi-linear partial differential equations, detailing the formation of shock waves.",mathematics,1,mathematics_1
I am trying to understand the basic timeline of the Renaissance period and which Italian city-states were the main centers of art.,history_culture,0,history_culture_0
Another name for hasty generalization is,philosophy_ethics,0,philosophy_ethics_0
"A carrier with amplitude 4 volts and frequencyf_c= 2MHz is frequency modulated by a modulating signal m(t) = sin 1000\pit. The amplitude of the modulating signal is 2 volts and the frequency deviation was found to be equal to 1 kHz. If the amplitude and frequency of the modulating signal are increased to 8 volts and 2 kHz respectively, write an expression for the new modulated signal.",engineering,0,engineering_0
"Given a dragonfly network where global adaptive routing introduces packet reordering, what MPI library tuning parameters most critically affect collective algorithm selection?",hpc,1,hpc_1
What are the strict Lipschitz and linear growth conditions required to guarantee the existence and uniqueness of strong solutions to stochastic differential equations?,mathematics,1,mathematics_1
"According to social learning theory, gender identity results primarily from",social_sciences,0,social_sciences_0
How can I restart a xorg server via bash script?,hpc,0,hpc_0
Philippa Foot explains the moral relevance of the killing/letting die distinction by appealing to,philosophy_ethics,0,philosophy_ethics_0
Why do we use zero-truncated poisson regression and do not just call outcome 1 outcome 0?,statistics_ml,0,statistics_ml_0
Autoxidation products of both carbohydrates and lipids are increased in uremic plasma: is there oxidative stress in uremia?,life_sciences,1,life_sciences_1
Which term describes the forces that unify and strengthen a country?,history_culture,0,history_culture_0
Performance enhancing synthetic steroids are based on the structure of the hormone:,life_sciences,0,life_sciences_0
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I donated a closet full of clothes to the homeless shelter so I could help them. Scenario 2 | I filled up the gas tank with sugar.",philosophy_ethics,0,philosophy_ethics_0
"Dependent variable not correlated with independent, but still a predictor in regression",statistics_ml,1,statistics_ml_1
Determine the Fourier transform of the function f(t) = e^-2t sin(6t - 18) u(t - 3) where u(t) is the unit step function. Note: F[e^-\alphat(sin \omega_0t)u(t)] = [\omega_0 / {(\alpha + j\omega)^2 + \omega_0^2}],engineering,1,engineering_1
Which of these features suggest that a pulsation in the neck is arterial?,life_sciences,0,life_sciences_0
"Assume all gases are perfect unless stated otherwise. Unless otherwise stated, thermodynamic data are for 298.15 K. When $229 \mathrm{~J}$ of energy is supplied as heat to $3.0 \mathrm{~mol} \mathrm{Ar}(\mathrm{g})$ at constant pressure, the temperature of the sample increases by $2.55 \mathrm{~K}$. Calculate the molar heat capacities at constant pressure of the gas.",physics_chemistry,0,physics_chemistry_0
